"Cohort","n","outcome","prob","se"
"1880",2,"Mratio",0.5,0.353553390593274
"1890",4,"Mratio",0.75,0.21650635094611
"1900",15,"Mratio",0.533333333333333,0.128812237743906
"1910",44,"Mratio",0.454545454545455,0.0750657112586155
"1920",60,"Mratio",0.366666666666667,0.0622123007963085
"1930",199,"Mratio",0.306532663316583,0.0326832206605601
"1940",270,"Mratio",0.344444444444444,0.0289189460603894
"1950",236,"Mratio",0.23728813559322,0.0276925061988962
"1960",459,"Mratio",0.10239651416122,0.0141507190552153
"1970",387,"Mratio",0.124031007751938,0.0167553699107923
"1980",128,"Mratio",0.046875,0.0186827406930752
"1990",277,"Mratio",0.0108303249097473,0.0062189384017784
"2000",42,"Mratio",0.0714285714285714,0.0397391885902991
"1880",2,"Bratio",NA,NA
"1890",4,"Bratio",NA,NA
"1900",15,"Bratio",0.333333333333333,0.121716123890037
"1910",44,"Bratio",0.340909090909091,0.0714604281219887
"1920",60,"Bratio",0.466666666666667,0.0644061188719531
"1930",199,"Bratio",0.57286432160804,0.0350656807006222
"1940",270,"Bratio",0.537037037037037,0.0303454345756227
"1950",236,"Bratio",0.601694915254237,0.0318669203260277
"1960",459,"Bratio",0.708061002178649,0.0212214498390953
"1970",387,"Bratio",0.728682170542636,0.0226023063054491
"1980",128,"Bratio",0.71875,0.0397402147448746
"1990",277,"Bratio",0.768953068592058,0.0253256228532653
"2000",42,"Bratio",0.80952380952381,0.0605913343124145
"1880",2,"Cratio",0.5,0.353553390593274
"1890",4,"Cratio",0.25,0.21650635094611
"1900",15,"Cratio",0.133333333333333,0.0877707451472511
"1910",44,"Cratio",0.204545454545455,0.0608101762510803
"1920",60,"Cratio",0.166666666666667,0.0481125224324688
"1930",199,"Cratio",0.120603015075377,0.0230858054051956
"1940",270,"Cratio",0.118518518518519,0.0196706097070481
"1950",236,"Cratio",0.161016949152542,0.0239252447376171
"1960",459,"Cratio",0.189542483660131,0.0182941429337942
"1970",387,"Cratio",0.147286821705426,0.01801473799868
"1980",128,"Cratio",0.234375,0.0374419717044547
"1990",277,"Cratio",0.220216606498195,0.0248984401176264
"2000",42,"Cratio",0.119047619047619,0.0499702967597257
