"Urban_Status","n","outcome","prob","se","time"
"Rural",392,"Mratio",0.0586734693877551,0.0118699257018632,"Childhood Residence"
"Town",105,"Mratio",0.00952380952380952,0.00947834955291656,"Childhood Residence"
"Urban",114,"Mratio",0,0,"Childhood Residence"
"Rural",392,"Bratio",0.864795918367347,0.0172706500136559,"Childhood Residence"
"Town",105,"Bratio",0.79047619047619,0.0397160855941075,"Childhood Residence"
"Urban",114,"Bratio",0.342105263157895,0.0444330022043402,"Childhood Residence"
"Rural",392,"Cratio",0.076530612244898,0.0134272109525806,"Childhood Residence"
"Town",105,"Cratio",0.2,0.0390360029179413,"Childhood Residence"
"Urban",114,"Cratio",0.657894736842105,0.0444330022043402,"Childhood Residence"
"Rural",113,"Mratio",0.141592920353982,0.0327965524385565,"Current Residence"
"Town",182,"Mratio",0.032967032967033,0.0132350283867361,"Current Residence"
"Urban",316,"Mratio",0.00632911392405063,0.00446117436466949,"Current Residence"
"Rural",113,"Bratio",0.761061946902655,0.0401156138780003,"Current Residence"
"Town",182,"Bratio",0.912087912087912,0.0209897348944597,"Current Residence"
"Urban",316,"Bratio",0.661392405063291,0.0266216155861616,"Current Residence"
"Rural",113,"Cratio",0.0973451327433628,0.0278855210113703,"Current Residence"
"Town",182,"Cratio",0.0549450549450549,0.0168910692122387,"Current Residence"
"Urban",316,"Cratio",0.332278481012658,0.0264975215027112,"Current Residence"
