"cohort","n","gen1","outcome","prob","se"
"1920",0,"B.gen1","M.gen2",NA,NA
"1930",0,"B.gen1","M.gen2",NA,NA
"1940",0,"B.gen1","M.gen2",NA,NA
"1950",16,"B.gen1","M.gen2",0.125,0.0826797284707685
"1960",56,"B.gen1","M.gen2",0.0178571428571429,0.0176969858743771
"1970",76,"B.gen1","M.gen2",0.0263157894736842,0.0183615977611674
"1980",80,"B.gen1","M.gen2",0,0
"1990",189,"B.gen1","M.gen2",0,0
"2000",35,"B.gen1","M.gen2",0.0571428571428571,0.0392346607043197
"1920",0,"B.gen1","B.gen2",NA,NA
"1930",0,"B.gen1","B.gen2",NA,NA
"1940",0,"B.gen1","B.gen2",NA,NA
"1950",16,"B.gen1","B.gen2",0.6875,0.11587810136087
"1960",56,"B.gen1","B.gen2",0.767857142857143,0.0564188024351951
"1970",76,"B.gen1","B.gen2",0.881578947368421,0.0370628035489846
"1980",80,"B.gen1","B.gen2",0.7125,0.0506018465572157
"1990",189,"B.gen1","B.gen2",0.862433862433862,0.0250546170972603
"2000",35,"B.gen1","B.gen2",0.828571428571429,0.0637048588249034
"1920",0,"B.gen1","C.gen2",NA,NA
"1930",0,"B.gen1","C.gen2",NA,NA
"1940",0,"B.gen1","C.gen2",NA,NA
"1950",16,"B.gen1","C.gen2",0.1875,0.097578093724975
"1960",56,"B.gen1","C.gen2",0.214285714285714,0.0548321052556242
"1970",76,"B.gen1","C.gen2",0.0921052631578947,0.0331705885212911
"1980",80,"B.gen1","C.gen2",0.2875,0.0506018465572157
"1990",189,"B.gen1","C.gen2",0.137566137566138,0.0250546170972603
"2000",35,"B.gen1","C.gen2",0.114285714285714,0.0537785113208182
