"cohort","n","gen2","outcome","prob","se"
"1920",0,"C.gen2","M.gen1",NA,NA
"1930",1,"C.gen2","M.gen1",0,0
"1940",0,"C.gen2","M.gen1",NA,NA
"1950",6,"C.gen2","M.gen1",0,0
"1960",18,"C.gen2","M.gen1",0,0
"1970",12,"C.gen2","M.gen1",0,0
"1980",30,"C.gen2","M.gen1",0,0
"1990",58,"C.gen2","M.gen1",0,0
"2000",5,"C.gen2","M.gen1",0,0
"1920",0,"C.gen2","B.gen1",NA,NA
"1930",1,"C.gen2","B.gen1",0,0
"1940",0,"C.gen2","B.gen1",NA,NA
"1950",6,"C.gen2","B.gen1",0.5,0.204124145231932
"1960",18,"C.gen2","B.gen1",0.666666666666667,0.111111111111111
"1970",12,"C.gen2","B.gen1",0.583333333333333,0.142318760638328
"1980",30,"C.gen2","B.gen1",0.766666666666667,0.0772202237950847
"1990",58,"C.gen2","B.gen1",0.448275862068966,0.0653009760653792
"2000",5,"C.gen2","B.gen1",0.8,0.178885438199983
"1920",0,"C.gen2","C.gen1",NA,NA
"1930",1,"C.gen2","C.gen1",1,0
"1940",0,"C.gen2","C.gen1",NA,NA
"1950",6,"C.gen2","C.gen1",0.5,0.204124145231932
"1960",18,"C.gen2","C.gen1",0.333333333333333,0.111111111111111
"1970",12,"C.gen2","C.gen1",0.416666666666667,0.142318760638328
"1980",30,"C.gen2","C.gen1",0.233333333333333,0.0772202237950847
"1990",58,"C.gen2","C.gen1",0.551724137931034,0.0653009760653792
"2000",5,"C.gen2","C.gen1",0.2,0.178885438199983
