"cohort","n","gen2","outcome","prob","se"
"1920",1,"M.gen2","M.gen1",1,0
"1930",1,"M.gen2","M.gen1",1,0
"1940",4,"M.gen2","M.gen1",1,0
"1950",4,"M.gen2","M.gen1",0.5,0.25
"1960",2,"M.gen2","M.gen1",0.5,0.353553390593274
"1970",7,"M.gen2","M.gen1",0.714285714285714,0.170746944190628
"1980",0,"M.gen2","M.gen1",NA,NA
"1990",2,"M.gen2","M.gen1",1,0
"2000",3,"M.gen2","M.gen1",0.333333333333333,0.272165526975909
"1920",1,"M.gen2","B.gen1",0,0
"1930",1,"M.gen2","B.gen1",0,0
"1940",4,"M.gen2","B.gen1",0,0
"1950",4,"M.gen2","B.gen1",0.5,0.25
"1960",2,"M.gen2","B.gen1",0.5,0.353553390593274
"1970",7,"M.gen2","B.gen1",0.285714285714286,0.170746944190628
"1980",0,"M.gen2","B.gen1",NA,NA
"1990",2,"M.gen2","B.gen1",0,0
"2000",3,"M.gen2","B.gen1",0.666666666666667,0.272165526975909
"1920",1,"M.gen2","C.gen1",0,0
"1930",1,"M.gen2","C.gen1",0,0
"1940",4,"M.gen2","C.gen1",0,0
"1950",4,"M.gen2","C.gen1",0,0
"1960",2,"M.gen2","C.gen1",0,0
"1970",7,"M.gen2","C.gen1",0,0
"1980",0,"M.gen2","C.gen1",NA,NA
"1990",2,"M.gen2","C.gen1",0,0
"2000",3,"M.gen2","C.gen1",0,0
