"Subject_Code","Birthyear","Gender","Ethnicity","Education","Occupation","Site_of_Residence","Years_at_Residence","Number_Of_Siblings","Birth_Order","Language_of_Form","Interview_Date","Interviewer","Interview_Session","Audio_Recording","Interview_Language_Use","Sibling_Group","chin.spok","chin.writ","mong.spok","mong.writ","chin.Age_of_Acquisition","chin.L1_yesno","mong.Age_of_Acquisition","mong.L1_yesno","other.Age_of_Acquisition","other.L1_yesno","prf.id.x","cty.id.x","twp.id.x","Name.x","Name_zh.x","Name_mn.x","Township.x","Code.x","Is_Seat.x","Urban_Status.x","Latitude.x","Longitude.x","Area.x","Population.x","Han_Population.x","Mongolian_Population.x","Economy.x","Ecology.x","a.Birthyear","a.Birthyear_guessed","a.chin.spok","a.chin.writ","a.Elder_as_Subject","a.Ethnicity","a.Gender","a.mong.spok","a.mong.writ","a.Relationship","a.Site_of_residence","b.Birthyear","b.Birthyear_guessed","b.chin.spok","b.chin.writ","b.Elder_as_Subject","b.Ethnicity","b.Gender","b.mong.spok","b.mong.writ","b.Relationship","b.Site_of_residence","c.Birthyear","c.Birthyear_guessed","c.chin.spok","c.chin.writ","c.Elder_as_Subject","c.Ethnicity","c.Gender","c.mong.spok","c.mong.writ","c.Relationship","c.Site_of_residence","d.Birthyear","d.Birthyear_guessed","d.chin.spok","d.chin.writ","d.Elder_as_Subject","d.Ethnicity","d.Gender","d.mong.spok","d.mong.writ","d.Relationship","d.Site_of_residence","prf.id.y","cty.id.y","twp.id.y","Name.y","Name_zh.y","Name_mn.y","Township.y","Code.y","Is_Seat.y","Urban_Status.y","Latitude.y","Longitude.y","Area.y","Population.y","Han_Population.y","Mongolian_Population.y","Economy.y","Ecology.y"
"AS012660",1996,"FEMALE","MONGOL","COLLEGE_UNIV","student",3,4,2,2,"mong","1/26/2015 0:00:00",1,17,"Y",2,NA,1,1,1,1,"9","N","1","Y",NA,NA,1,4,16,"Saihan Hohhot","","",16,"hhsh0000",NA,"CHENG_CITY",NA,NA,0,0,0,0,NA,NA,"1944","0","3","3",NA,"MONGOL","FEMALE","1","2","MAT_GRANDMA",322,"1968","0","2","3",NA,"MONGOL","MALE","1","3","FATHER","322","1972","0","2","2",NA,"MONGOL","FEMALE","1","1","MOTHER","322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,27,26,"Bayan-Nurgun Sum","<U+5DF4><U+5F66><U+8BFA><U+65E5><U+516C><U+82CF><U+6728>","bayan nirugun sumu",26,"",0,"XIANG_RURAL",0,0,0,0,0,0,NA,NA
"AS012661",1974,"MALE","MONGOL","LOWER_MIDDLE","herder",322,40,8,4,"mong","1/26/2015 0:00:00",1,17,"Y",1,NA,1,4,1,1,"13","N","1","Y",NA,NA,12,27,26,"Bayan-Nurgun Sum","<U+5DF4><U+5F66><U+8BFA><U+65E5><U+516C><U+82CF><U+6728>","bayan nirugun sumu",26,"",0,"XIANG_RURAL",0,0,0,0,0,0,NA,NA,"1941","0","3","4",NA,"MONGOL","MALE","1","2","FATHER",322,"1949","0","3","4",NA,"MONGOL","FEMALE","1","4","MOTHER","322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,27,26,"Bayan-Nurgun Sum","<U+5DF4><U+5F66><U+8BFA><U+65E5><U+516C><U+82CF><U+6728>","bayan nirugun sumu",26,"",0,"XIANG_RURAL",0,0,0,0,0,0,NA,NA
"AS012662",1982,"FEMALE","MONGOL","LOWER_MIDDLE","herder",6,2,4,4,"mong","1/26/2016 0:00:00",1,17,"Y",1,NA,1,2,1,1,"10","N","1","Y",NA,NA,12,27,25,"Bayanhot"," <U+5DF4><U+5F66><U+6D69><U+7279>"," bayanqota",25,"axzqby00",NA,"ZHEN_TOWN",NA,NA,0,0,0,0,NA,NA,"1951","1","1","3",NA,"MONGOL","MALE","1","1","FATHER",10,"1951","1","1","4",NA,"MONGOL","FEMALE","1","2","MOTHER","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,28,30,"Altan Oboo","","",30,"axyqao00",NA,"XIANG_RURAL",0,0,0,0,0,0,NA,NA
"AS012864",1984,"MALE","MONGOL","COLLEGE_UNIV","<U+4E8B><U+4E1A><U+5355><U+4F4D><U+5DE5><U+4F5C><U+4EBA><U+5458> institutional (government) employee",6,30,2,2,"chin","1/28/2015 0:00:00",1,16,"Y",5,NA,1,1,3,4,"1","Y","1","Y",NA,NA,12,27,25,"Bayanhot"," <U+5DF4><U+5F66><U+6D69><U+7279>"," bayanqota",25,"axzqby00",NA,"ZHEN_TOWN",NA,NA,0,0,0,0,NA,NA,"1952","0","1","1",NA,"HAN","MALE","3","4","FATHER",6,"1951","0","2","2",NA,"MONGOL","FEMALE","1","1","MOTHER","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,27,25,"Bayanhot"," <U+5DF4><U+5F66><U+6D69><U+7279>"," bayanqota",25,"axzqby00",NA,"ZHEN_TOWN",NA,NA,0,0,0,0,NA,NA
"AS012865",1986,"MALE","MONGOL","COLLEGE_UNIV","teacher",6,15,2,2,"mong","1/28/2015 0:00:00",1,15,"N",1,NA,1,1,1,1,"9","N","1","Y",NA,NA,12,27,25,"Bayanhot"," <U+5DF4><U+5F66><U+6D69><U+7279>"," bayanqota",25,"axzqby00",NA,"ZHEN_TOWN",NA,NA,0,0,0,0,NA,NA,"-1","0","5","5",NA,"MONGOL","MALE","5","5","FATHER",11,"-1","0","5","5",NA,"MONGOL","FEMALE","5","5","MOTHER","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,27,27,"Inggen Sumu","","",27,"axzqig00",NA,"XIANG_RURAL",0,0,0,0,0,0,NA,NA
"AS012866",1970,"MALE","MONGOL","LOWER_MIDDLE","herder",5,44,4,1,"mong","1/28/2015 0:00:00",1,15,"N",1,NA,2,3,1,1,"15","N","1","Y",NA,NA,12,27,29,"Cenggeltu Gachaa in Han-Uul","","",29,"",NA,"XIANG_RURAL",NA,NA,0,0,0,0,NA,NA,"1934","0","3","4",NA,"MONGOL","MALE","1","1","FATHER",5,"1940","0","3","4",NA,"MONGOL","FEMALE","1","1","MOTHER","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,27,29,"Cenggeltu Gachaa in Han-Uul","","",29,"",NA,"XIANG_RURAL",NA,NA,0,0,0,0,NA,NA
"AS012868",1936,"FEMALE","MONGOL","NONE","herder (retired)",6,4,4,2,"mong","1/28/2015 0:00:00",1,14,"Y",1,NA,3,4,1,4,"30","N","1","Y",NA,NA,12,27,25,"Bayanhot"," <U+5DF4><U+5F66><U+6D69><U+7279>"," bayanqota",25,"axzqby00",NA,"ZHEN_TOWN",NA,NA,0,0,0,0,NA,NA,"1910","1","4","4",NA,"MONGOL","MALE","1","4","MAT_UNCLE",11,"1880","1","4","4",NA,"MONGOL","FEMALE","1","4","GRANDMA_NS","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,27,27,"Inggen Sumu","","",27,"axzqig00",NA,"XIANG_RURAL",0,0,0,0,0,0,NA,NA
"BN021501",1985,"FEMALE","MONGOL","UPPER_MIDDLE","private company (qobi nigece)",137,7,2,1,"mong","2/15/2015 0:00:00",4,98,"N",1,NA,1,1,1,1,"6","N","1","Y",NA,NA,8,172,1341,"Wu Zhongqi (Hailuut)","<U+6D77><U+6D41><U+56FE><U+9547>","qaligutu balgasu",1341,"",0,"ZHEN_TOWN",0,0,0,0,0,0,NA,NA,"1967","0","2","2",NA,"MONGOL","MALE","1","1","FATHER",138,"1968","0","1","1",NA,"MONGOL","FEMALE","1","1","MOTHER","138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,172,1334,"Bayanggai ?","","bayanggai balgasu",1334,"",0,"XIANG_RURAL",0,0,0,0,0,0,NA,NA
"BN021502",1981,"FEMALE","MONGOL","UPPER_MIDDLE","private company (qobi nigece)",137,20,2,1,"mong","2/15/2015 0:00:00",4,98,"N",1,NA,1,2,1,2,"6","N","1","Y",NA,NA,8,172,1341,"Wu Zhongqi (Hailuut)","<U+6D77><U+6D41><U+56FE><U+9547>","qaligutu balgasu",1341,"",0,"ZHEN_TOWN",0,0,0,0,0,0,NA,NA,"1955","0","1","5",NA,"MONGOL","MALE","1","1","FATHER",137,"1953","0","3","4",NA,"MONGOL","FEMALE","1","1","MOTHER","137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,172,1341,"Wu Zhongqi (Hailuut)","<U+6D77><U+6D41><U+56FE><U+9547>","qaligutu balgasu",1341,"",0,"ZHEN_TOWN",0,0,0,0,0,0,NA,NA
"BN021503",1967,"MALE","MONGOL","COLLEGE_UNIV","bureau of education professional training center (surgan kumujil-un tobciyan-u ajil mergejil-un dabtan bolbasuragulhu tube)",137,8,5,3,"mong","2/15/2015 0:00:00",4,98,"N",1,NA,2,2,1,1,"6","N","1","Y",NA,NA,8,172,1341,"Wu Zhongqi (Hailuut)","<U+6D77><U+6D41><U+56FE><U+9547>","qaligutu balgasu",1341,"",0,"ZHEN_TOWN",0,0,0,0,0,0,NA,NA,"1939","0","1","1",NA,"MONGOL","MALE","1","1","FATHER",139,"1946","0","2","3",NA,"MONGOL","FEMALE","1","2","MOTHER","139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,172,1330,"Congji Sum","<U+5DDD><U+4E95><U+82CF><U+6728>","congji sumu",1330,"",0,"XIANG_RURAL",0,0,0,0,0,0,NA,NA
