"Subject_Code","lxSelf","lxElder"
"AS012660","B","B"
"AS012661","B","M"
"AS012662","B","B"
"AS012864","C","C"
"AS012866","B","M"
"BN021501","B","B"
"BN021502","B","B"
"BN021503","B","B"
"BN021504","B","B"
"BN021506","B","B"
"BN021507","B","B"
"BN021508","B","B"
"BN021509","B","M"
"BN021510","B","M"
"BN021512","B","B"
"BN021513","B","M"
"BN021514","B","B"
"BN021517","M","B"
"BN021518","B","B"
"BN021519","B","B"
"BN021520","B","B"
"BN021521","B","B"
"BN021522","B","B"
"BN021523","B","B"
"BN021524","B","B"
"BN021525","B","M"
"BN021526","B","B"
"BN021527","B","B"
"BN021529","B","B"
"BN021530","B","M"
"BN021531","B","B"
"BN021532","B","B"
"BN021533","B","B"
"BN021535","B","B"
"BN021536","B","M"
"BN021537","B","M"
"HB030201","B","B"
"HB030205","M","M"
"HB030206","B","M"
"HB030207","B","M"
"HB030208","B","B"
"HB030209","B","M"
"HB030210","B","B"
"HB030314","B","B"
"HB030315","B","B"
"HB030316","B","B"
"HB030317","M","M"
"HB030318","B","M"
"HB030319","B","B"
"HB030320","B","B"
"HB030321","B","B"
"HB030322","B","B"
"HB030323","B","B"
"HB030324","B","B"
"HB030325","B","B"
"HB030326","M","B"
"HB030327","B","B"
"HB030328","B","M"
"HB030329","B","B"
"HB030330","B","B"
"HB030331","B","B"
"HB030332","B","B"
"KQ011051","B","B"
"KQ011331","B","B"
"KQ011432","B","B"
"KQ011461","B","B"
"KQ011511","B","B"
"KQ011512","B","B"
"KQ011552","B","B"
"KQ011581","B","C"
"KQ011582","B","B"
"KQ011601","B","B"
"KQ011602","M","M"
"KQ011621","B","B"
"KQ011622","B","B"
"KQ012050","B","B"
"KQ012141","B","B"
"KQ012142","B","B"
"KQ012241","B","B"
"KQ012551","B","B"
"KQ012952","C","B"
"KQ013141","B","B"
"KQ020153","B","C"
"KQ020354","B","C"
"KQ020555","B","B"
"KQ021156","B","C"
"KQ021257","B","M"
"KQ022358","B","M"
"KQ022641","B","B"
"KQ022661","B","B"
"KQ030159","B","M"
"KQ030161","B","M"
"KQ030241","B","B"
"KQ030242","B","B"
"KQ030243","B","B"
"KQ030244","B","B"
"KQ030245","B","B"
"KQ030246","B","B"
"KQ030247","B","B"
"KQ030248","B","B"
"KQ030262","B","B"
"KQ030280","B","B"
"KQ030281","B","M"
"KQ030282","B","B"
"KQ030341","B","B"
"KQ030380","B","B"
"KQ030381","B","B"
"KQ030382","B","B"
"KQ030480","B","M"
"KQ030481","B","M"
"KQ030482","B","B"
"KQ030483","B","B"
"KQ030563","B","B"
"KQ030680","B","B"
"KQ030681","B","B"
"KQ030682","B","B"
"KQ030764","B","B"
"KQ030765","B","B"
"KQ030780","B","B"
"KQ030781","B","B"
"KQ030782","B","B"
"KQ030783","B","B"
"KQ030860","B","B"
"KQ030961","B","B"
"KQ031062","B","B"
"KQ031141","B","B"
"KQ031341","B","B"
"KQ031342","B","B"
"KQ031343","M","B"
"KQ032763","M","M"
"KQ032764","B","M"
"KQ042850","C","B"
"KQ043030","B","B"
"KQ051141","C","C"
"KQ051142","C","C"
"KQ051241","C","C"
"KQ052101","C","C"
"KQ052102","C","C"
"KQ052103","C","C"
"KQ052104","C","C"
"KQ052105","C","C"
"KQ052106","C","C"
"KQ052107","C","C"
"KQ052108","C","C"
"KQ052109","C","C"
"KQ052110","C","C"
"KQ052518","C","B"
"KQ052616","C","B"
"KQ052617","B","B"
"KQ052844","B","B"
"KQ060201","B","B"
"KQ060301","B","B"
"KQ060302","B","B"
"KQ060303","B","B"
"KQ060305","B","B"
"KQ060306","B","M"
"KQ060307","B","M"
"KQ060308","B","B"
"KQ060309","M","M"
"KQ060310","B","B"
"KQ060311","C","B"
"KQ060312","B","B"
"KQ060313","B","B"
"KQ060314","B","B"
"KQ060315","C","C"
"KQ060317","B","M"
"KQ060318","B","B"
"KQ060319","B","B"
"KQ060320","B","B"
"KQ060321","B","B"
"KQ060324","B","B"
"KQ060325","B","B"
"KQ060326","B","B"
"KQ060331","B","B"
"KQ060333","B","B"
"KQ060340","B","M"
"KQ060350","C","C"
"KQ060351","C","C"
"KQ060352","C","C"
"KQ060354","C","C"
"KQ060355","C","B"
"KQ060356","C","B"
"KQ060357","C","C"
"KQ060358","C","B"
"KQ060359","C","C"
"KQ060360","B","B"
"KQ060361","B","M"
"KQ060362","B","B"
"KQ060363","C","C"
"KQ060364","C","C"
