"Subject_Code","lxSelf","lxElder"
"AS012660","B","M"
"AS012868","M","M"
"BN021512","B","M"
"BN021533","B","M"
"BN021535","B","M"
"HB030202","B","B"
"HB030314","B","B"
"HB030314","B","B"
"HB030323","B","B"
"KQ011331","B","B"
"KQ011602","M","M"
"KQ012142","B","B"
"KQ012142","B","M"
"KQ013141","B","M"
"KQ013142","B","B"
"KQ030248","B","M"
"KQ030342","B","M"
"KQ030381","B","B"
"KQ030381","B","B"
"KQ030382","B","B"
"KQ030382","B","B"
"KQ030765","B","B"
"KQ030765","B","B"
"KQ043030","B","M"
"KQ051241","C","B"
"KQ051241","C","C"
"KQ052102","C","C"
"KQ052103","C","C"
"KQ052103","C","C"
"KQ052104","C","C"
"KQ052104","C","C"
"KQ052106","C","B"
"KQ052107","C","C"
"KQ052108","C","C"
"KQ052616","C","M"
"KQ052616","C","M"
"KQ060201","B","B"
"KQ060306","B","M"
"KQ060307","B","M"
"KQ060308","B","M"
"KQ060310","B","M"
"KQ060311","C","M"
"KQ060311","C","M"
"KQ060312","B","M"
"KQ060315","C","C"
"KQ060315","C","M"
"KQ060317","B","M"
"KQ060320","B","B"
"KQ060322","B","B"
"KQ060323","B","M"
"KQ060323","B","M"
"KQ060324","B","B"
"KQ060324","B","B"
"KQ060331","B","M"
"KQ060340","B","M"
"KQ060352","C","C"
"KQ060355","C","B"
"KQ060355","C","B"
"KQ060357","C","B"
"KQ060357","C","B"
"KQ060358","C","B"
"KQ060362","B","M"
"KQ060362","B","M"
"KQ060363","C","C"
"KQ060363","C","C"
"KQ060367","C","C"
"KQ060368","C","C"
"KQ060369","C","C"
"KQ060369","C","B"
"KQ060372","C","B"
"KQ060373","B","M"
"KQ060373","B","M"
"KQ060374","B","M"
"KQ060374","B","B"
"KQ060375","C","C"
"KQ060377","B","C"
"KQ060381","B","M"
"KQ060383","C","C"
"KQ060383","C","B"
"KQ060384","B","M"
"KQ060384","B","M"
"KQ060386","B","M"
"KQ060386","B","B"
"KQ060392","B","M"
"KQ060393","B","B"
"KQ060434","C","C"
"KQ060434","C","C"
"KQ060438","B","B"
"KQ060439","C","C"
"KQ060439","C","C"
"KQ060442","B","M"
"KQ060442","B","M"
"KQ060443","C","C"
"KQ060443","C","B"
"KQ060446","B","B"
"KQ060447","B","B"
"KQ060447","B","B"
"KQ060448","C","B"
"KQ060448","C","B"
"KQ060449","C","C"
"KQ060449","C","C"
"KQ060451","B","B"
"KQ060457","B","M"
